Guildford Borough Council - Business Rates information as at 1 April 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This file contains information on rateable values, charges, reliefs and ratepayers as at 1 April 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For additional information please see https://www.guildford.gov.uk/businessrates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Place Ref,Property Addr 1,Property Addr 2,Property Addr 3,Property Addr 4,Property Addr 5,Property Post Code,Property Description,31/03/2017 Rateable Value,31/03/2023 Rateable Value,Current Rateable Value,Annual Charge,Transitional Reduction,Empty (Y/N) or Not Available (N/A),Date Fell Empty,Empty Exemption,Small Business Rate Relief (Y/N),Mandatory Relief (Y/N),Mandatory Relief %,Discretionary Relief (Y/N),Discretionary Relief %,Rural Rate Relief Y/N,Supporting Small Business Relief,Retail Discount Y/N,Name,Correspondence Addr 1,Correspondence Addr 2,Correspondence Addr 3,Correspondence Addr 4,Correspondence Addr 5,Correspondence Post Code
011700010,Albury Sandpit,Shere Road,Albury,Guildford,Surrey,GU5 9BW,LEACHATE TREATMENT PLANT AND PREMISES,"18,000","16,000","15,000","7,485.00",0.00,N,,,N,N,0,N,0,N,N,N,SUEZ Recycling and Recovery UK Ltd,Wallsend Road,North Shields,Tyne & Wear,,,NE29 7SH
011700011,"The Barn, Albury Sand Pit",Shere Road,Albury,Guildford,Surrey,GU5 0SR,WORKSHOP AND PREMISES,"13,750","36,500","42,500","21,207.50",0.00,N,,,N,N,0,N,0,N,N,N,MHJ Ltd,Estate Workshop,Weston Yard,Albury,Guildford,Surrey,GU5 9AF
011700013,GASP Motor Project,Albury Sandpit,Shere Road,Albury,Guildford Surrey,GU5 9BW,WORKSHOP AND PREMISES,"9,300","9,800","11,500","5,648.18",90.32,N,,,N,Y,80,Y,20,N,N,N,GASP Motor Project Ltd,,,,,,
011700014,Wood Fuel Hub,Shere Road,Albury,Guildford,Surrey,GU5 9BW,STORE AND PREMISES,,"21,000","24,750","12,350.25",0.00,N,,,N,N,0,N,0,N,N,N,LC Energy Ltd,Unit 4 The Haybarn,Birtley Courtyard,Bramley,Surrey,,GU5 0LA
011700051,Distillery at,Sherbourne Farm,Shere Road,Albury,Guildford Surrey,GU5 9BW,WORKSHOP AND PREMISES,"13,500","29,750","32,750","16,342.25",0.00,N,,,N,N,0,N,0,N,N,Y,The Surrey Hills Distilling Company Ltd,Distillery at,Sherbourne Farm,Shere Road,Albury,Guildford Surrey,GU5 9BW
011700052,Albury Vineyard,Shere Road,Albury,Guildford,Surrey,GU5 9BW,WINERY AND PREMISES,"2,900","3,500","6,100","2,017.21","1,026.69",N,,,Y,N,0,N,0,N,N,N,Albury Vineyard Limited,Albury Vineyard,Shere Road,Albury,Guildford,Surrey,GU5 9BW
011700053,Mandira's Kitchen,Sherbourne Farm,Shere Road,Albury,Guildford Surrey,GU5 9BW,WAREHOUSE AND PREMISES,,"4,000","4,300","2,145.70",0.00,N,,,Y,N,0,N,0,N,N,N,Mandira Limited,Mandiras Kitchen,Sherbourne Farm,Shere Road,Albury,Guildford Surrey,GU5 9BW
011700161,"Unit 1, Home Farm",Albury Estate,"Shere Road, Albury",Guildford,Surrey,GU5 9BL,WORKSHOP AND PREMISES,"9,100","9,100","10,250","5,114.75",0.00,N,,,Y,N,0,N,0,N,N,N,Montfort International Plc,Unit 1 Home Farm,Albury Estate,Shere Road,Albury,Guildford,GU5 9BL
011700164,4 Home Farm,Shere Road,Albury,Guildford,Surrey,GU5 9BL,WAREHOUSE AND PREMISES,"9,500","9,500","10,500","5,239.50",0.00,N,,,Y,N,0,N,0,N,N,N,Winford Micro Design Ltd t/a Care Print,5 Thornton Close,Ryde,Isle of Wight,,,PO33 1PF
011700165,Unit 5 Home Farm Buildings,Shere Road,Albury,Guildford,Surrey,GU5 9BL,OFFICES AND PREMISES,"7,500","9,600","12,250","5,532.91",579.84,N,,,Y,N,0,N,0,N,N,N,The Spokesman Bicycle Worksop Ltd,Unit 5 Home Farm Buildings,Shere Road,Albury,Guildford,Surrey,GU5 9BL
011700166,Unit 2 Home Farm,Shere Road,Albury,Guildford,Surrey,GU5 9BL,OFFICES AND PREMISES,"13,750","17,750","20,750","10,354.25",0.00,N,,,N,N,0,N,0,N,N,N,Core Group Ltd,Unit 2 Home Farm,Shere Road,Albury,Guildford,Surrey,GU5 9BL
011700167,Unit 3 Home Farm,Shere Road,Albury,Guildford,Surrey,GU5 9BL,OFFICES AND PREMISES,"9,000","11,250","13,000","6,483.88",3.12,N,,,Y,N,0,N,0,N,Y,N,Nexuss Ltd,Unit 3 Home Farm,Shere Road,Albury,Guildford,Surrey,GU5 9BL
011700240,Hillside Kennels,Shere Road,Albury,Guildford,Surrey,GU4 8SH,KENNELS AND PREMISES,"3,400","7,100","6,900","3,443.10",0.00,Y,01/11/2018,Other,N,N,0,N,0,N,N,N,Celia Cross Greyhound Trust,Sun Valley Kennels,Shere Road,West Clandon,Guildford,Surrey,GU4 8SH
011790021,Brewery At Old Scotland Farm,Staple Lane,Shere,Guildford,Surrey,GU5 9TE,WORKSHOP AND PREMISES,"8,400","10,000","11,250","5,613.75",0.00,N,,,Y,N,0,N,0,N,N,N,Tillingbourne Brewery Ltd,,,,,,
011820023,Unit 3 Weston Farm,The Street,Albury,Guildford,Surrey,GU5 9BZ,OFFICES AND PREMISES,"5,000","7,300","8,700","4,207.32",133.98,N,,,Y,N,0,N,0,N,N,N,G A Chedd Ltd,Unit 3 Weston Farm,The Street,Albury,Guildford,Surrey,GU5 9BZ
011820024,Unit 4 Weston Farm,The Street,Albury,Guildford,Surrey,GU5 9BZ,OFFICES AND PREMISES,"2,850","4,200","4,950","2,420.65",49.40,N,,,Y,N,0,N,0,N,N,N,Guildford Photographer Ltd,Unit 4 Weston Farm,The Street,Albury,Guildford,Surrey,GU5 9BZ
011820027,Unit 1 Weston Farm,The Street,Albury,Guildford,Surrey,GU5 9BZ,OFFICES AND PREMISES,"8,300","10,750","12,500","6,195.71",41.79,N,,,Y,N,0,N,0,N,N,N,Amasia Architects Ltd,Unit 1 Weston Farm,The Street,Albury,Guildford,Surrey,GU5 9BZ
011820028,Unit 2 Weston Farm,The Street,Albury,Guildford,Surrey,GU5 9BZ,OFFICES AND PREMISES,"15,500","20,250","23,750","11,851.25",0.00,N,,,N,N,0,N,0,N,N,N,G Y Telecom Ltd,Unit 2 Weston Farm,The Street,Albury,Guildford,Surrey,GU5 9BZ
011820030,Albury Estate Off. Weston Yard,The Street,Albury,Guildford,Surrey,GU5 9AD,OFFICES AND PREMISES,"7,800","10,250","12,000","5,907.54",80.46,N,,,Y,N,0,N,0,N,N,N,Albury Estate,Estate Office,Albury,Guildford,,,GU5  9AF
011820034,5 & 6 Weston Farm,The Street,Albury,Guildford,Surrey,GU5 9BZ,OFFICES AND PREMISES,"6,000","8,500","10,000","4,898.94",91.06,N,,,Y,N,0,N,0,N,N,N,Complete Home Control Ltd,Unit 5 Weston Farm,The Street,Albury,Guildford,Surrey,GU5 9BZ
011820035,Units 7 & 8 Weston Yard,The Street,Albury,Guildford,Surrey,GU5 9AF,OFFICES AND PREMISES,,"32,500","38,750","19,336.25",0.00,N,,,N,N,0,N,0,N,N,N,Terraqua Ltd,Weston Yard,The Street,Albury,Guildford,,GU5 9AF
011820152,Albury Lodge,The Street,Albury,Guildford,Surrey,GU5 9AD,OFFICES AND PREMISES,"12,750","16,250","19,000","9,365.61",115.39,N,,,N,N,0,N,0,N,N,N,Estate Financial Planning Ltd,Albury Lodge,The Street,Albury,Guildford,Surrey,GU5 9AD
011820260,Library,The Street,Albury,Guildford,Surrey,GU5 9AD,LIBRARY AND PREMISES,"3,600","5,300","6,200","3,054.63",39.17,N,,,Y,N,0,N,0,N,N,N,Albury Parish Council,,,,,,
011820271,"Unit 1, Albury Hall",The Street,Albury,Guildford,Surrey,GU5 9AD,OFFICES AND PREMISES,"6,900","9,000","10,500","5,187.11",52.39,N,,,Y,N,0,N,0,N,N,N,The Opcyon Design Company Ltd,Unit 1 Albury Hall,The Street,Albury,Guildford,Surrey,GU5 9AD
011820272,"Unit 2, Albury Hall",The Street,Albury,Guildford,Surrey,GU5 9AD,OFFICES AND PREMISES,"6,200","8,500","10,000","4,898.94",91.06,N,,,N,N,0,N,0,N,N,N,Unisto Ltd,Unit 2 Albury Hall,The Street,Albury,Guildford,Surrey,GU5 9AD
011820273,"Unit 3, Albury Hall",The Street,Albury,Guildford,Surrey,GU5 9AD,OFFICES AND PREMISES,"15,750","20,500","24,250","12,100.75",0.00,Y,30/06/2023,,N,N,0,N,0,N,N,N,Albury Estate,Estate Office,Albury,Guildford,,,GU5  9AF
011820274,"Community Room, Albury Hall",The Street,Albury,Guildford,Surrey,GU5 9AD,COMMUNITY ROOM AND PREMISES,"1,825","1,825","3,600","1,051.83",744.57,N,,,N,N,0,N,0,N,N,N,Albury Parish Council,,,,,,
011820421,The Village Store,The Street,Albury,Guildford,Surrey,GU5 9AG,SHOP AND PREMISES,"9,200","9,200","12,250","5,302.37",810.38,N,,,Y,N,0,N,0,N,N,N,PJN Ltd,89 New Road,Chilworth,Surrey,,,GU4 8LP
011820450,The Drummond,The Street,Albury,Guildford,Surrey,GU5 9AG,PUBLIC HOUSE AND PREMISES,"57,750","70,800","52,100","28,446.60",0.00,N,,,N,N,0,N,0,N,N,N,The Peach Pub Company Ltd,Peach Barns,Somerton Road,North Aston,,,OX25 6HX
011820501,Pratts Stores,The Street,Albury,Guildford,Surrey,GU5 9AG,SHOP AND PREMISES,"4,850","4,850","6,500","2,795.28",448.22,N/A,,,N,Y,100,N,0,Y,N,N,,,,,,,
011820530,Tillingbourne Barn,The Street,Albury,Guildford,Surrey,GU5 9AG,STORE AND PREMISES,"1,750","1,975","2,425","1,138.29",71.79,Y,01/05/2022,Under the rateable value threshold,N,N,0,N,0,N,N,N,Albury Estate,Estate Office,Albury,Guildford,,,GU5  9AF
012060062,"Unit 2, Water Lane Farm",Water Lane,Albury,Guildford,Surrey,GU5 9BD,STORE AND PREMISES,"2,650","4,150","4,600","2,295.40",0.00,N,,,Y,N,0,N,0,N,N,N,GSG Stove & Chimney Specialists Ltd,Unit 2 Water Lane Farm,Water Lane,Albury,Guildford,Surrey,GU5 9BD
012060063,Unit 3 Water Lane Farm,Water Lane,Albury,Guildford,Surrey,GU5 9BD,WORKSHOP AND PREMISES,"3,150","3,150","3,550","1,771.45",0.00,N/A,,,Y,N,0,N,0,N,N,N,,,,,,,
012060064,Office at R/o Unit 3,Water Lane Farm,Water Lane,Albury,Guildford Surrey,GU5 9BD,OFFICES AND PREMISES,"2,550","2,550","2,900","1,447.10",0.00,N/A,,,Y,N,0,N,0,N,N,N,,,,,,,
012060065,Unit 4,Water Lane Farm,Water Lane,Albury,Guildford Surrey,GU5 9BD,WORKSHOP AND PREMISES,,"29,750","34,250","17,090.75",0.00,N,,,N,N,0,N,0,N,N,Y,355 Automobile Restorations Ltd,Water Lane Farm,Water Lane,Albury,Guildford,Surrey,GU5 9BD
020020010,Barn,1 Pew Corner,Artington Manor Farm,Old Portsmouth Road,Guildford Surrey,GU3 1LP,STORE AND PREMISES,"5,800","12,750","13,750","6,861.25",0.00,N,,,Y,N,0,N,0,N,Y,N,Wood and Stone Ltd,Unit 1 Pew Corner,Old Portsmouth Road,Guildford,Surrey,,GU3 1LP
020020021,Part Unit 2 And Unit 3,Pew Corner,Artington Manor Farm,Old Portsmouth Road,Guildford Surrey,GU3 1LP,WAREHOUSE AND PREMISES,"15,250","29,250","31,500","15,718.50",0.00,N,,,N,N,0,N,0,N,N,N,Quantum Marketing Services Ltd,Frys Yard,Bridge Street,Godalming,Surrey,,GU7 1HP
020020022,Part Unit 2,Pew Corner,Artington Manor Farm,Old Portsmouth Road,Guildford Surrey,GU3 1LP,WAREHOUSE AND PREMISES,"12,750","24,250","26,000","12,974.00",0.00,N,,,N,N,0,N,0,N,N,N,Quantum Marketing Services Ltd,Frys Yard,Bridge Street,Godalming,Surrey,,GU7 1HP
020020023,Naggs Stables,2 Artington Manor Farm,Old Portsmouth Road,Guildford,Surrey,GU3 1LP,OFFICES AND PREMISES,,"17,500","20,250","10,104.75",0.00,N,,,N,N,0,N,0,N,N,N,Cyber Vigilance Ltd,Naggs Stables,2 Artington Manor Farm,Old Portsmouth Road,Guildford,Surrey,GU3 1LP
020020053,6C Pew Corner,Artington Manor Farm,Old Portsmouth Road,Guildford,Surrey,GU3 1LP,WORKSHOP AND PREMISES,"22,750","70,500","78,000","42,588.00",0.00,N,,,N,N,0,N,0,N,N,N,Williams Trade Supplies Ltd,7 Standard Way,Fareham,Hants,,,PO16 8XB
020020054,4-5 Pew Corner,Artington Manor Farm,Old Portsmouth Road,Guildford,Surrey,GU3 1LP,WORKSHOP AND PREMISES,"9,500","32,750","36,250","18,088.75",0.00,N,,,N,N,0,N,0,N,N,Y,Seymour & Partners Ltd,4-5 Artington Manor Farm,Old Portsmouth Road,Guildford,,,GU3 1LP
020020057,5A Pew Corner,Artington Manor Farm,Old Portsmouth Road,Guildford,Surrey,GU3 1LP,WAREHOUSE CONVERTED TO GYMNASIUM,"54,500","52,000","53,500","29,211.00",0.00,N,,,N,N,0,N,0,N,N,Y,Gymnastics Factory Ltd,,,,,,
020020059,6A-6B Pew Corner,Artington Manor Farm,Old Portsmouth Road,Guildford,Surrey,GU3 1LP,WORKSHOP AND PREMISES,,"54,000","60,500","33,033.00",0.00,N,,,N,N,0,N,0,N,N,Y,YT Industries UK Ltd,Units 6A & 6B Pew Corner,Artington Manor Farm,Old Portsmouth Road,Guildford,Surrey,GU3 1LP
020020073,7-7A Pew Corner,Artington Manor Farm,Old Portsmouth Road,Guildford,Surrey,GU3 1LP,WAREHOUSE AND PREMISES,"51,500","51,500","54,000","29,484.00",0.00,N,,,N,N,0,N,0,N,N,N,Les Caves De Pyrene Ltd,7-7A Artington Manor Farm,Old Portsmouth Road,Guildford,Surrey,,GU3 1LP
020020080,8 Pew Corner,Artington Manor Farm,Old Portsmouth Road,Guildford,Surrey,GU3 1LP,WORKSHOP AND PREMISES,"12,000","14,250","15,750","7,859.25",0.00,N,,,N,N,0,N,0,N,N,Y,SG Homes Ltd t/a Crossfit Guildford,48 Chantry View Road,Guildford,,,,GU1 3XU
020020090,9 Pew Corner,Artington Manor Farm,Old Portsmouth Road,Guildford,Surrey,GU3 1LP,BUSINESS UNIT AND PREMISES,"5,200","8,200","8,900","4,441.10",0.00,N,,,N,N,0,N,0,N,N,Y,SG Homes Ltd t/a Crossfit Guildford,48 Chantry View Road,Guildford,,,,GU1 3XU
020030010,Transmitter Mast Adj Reservoir,Hogs Back,Guildford,Surrey,,GU2 4DA,COMMUNICATION STATION AND PREMISES,"11,500","13,500","14,500","7,235.50",0.00,N,,,N,N,0,N,0,N,N,N,Police & Crime Commissioner for Surrey,Accounts Team,Shared Business Service Centre,Department J,P O Box 101,Guildford,GU1 9PE
020030020,Transmitter Mast (shared 140729),Hogs Back,Guildford,Surrey,,GU2 4DA,COMMUNICATION STATION AND PREMISES,"14,000","24,500","27,750","13,847.25",0.00,N,,,N,N,0,N,0,N,N,N,Arqiva Services Ltd,Avison Young,PO Box 6079,Wolverhampton,,,WV1 9RA
